sensorId,createdAt,value,lat,lon
5ee63c4adc1438001b233b56,2020-08-17T19:40:42.510Z,0.22,51.22862,-2.31921
5ee63c4adc1438001b233b56,2020-08-17T19:36:37.763Z,0.35,51.22862,-2.31921
5ee63c4adc1438001b233b56,2020-08-17T19:32:33.515Z,0.10,51.22862,-2.31921
5ee63c4adc1438001b233b56,2020-08-17T19:28:44.855Z,0.40,51.22862,-2.31921
5ee63c4adc1438001b233b56,2020-08-17T19:25:01.565Z,0.32,51.22862,-2.31921
5ee63c4adc1438001b233b56,2020-08-17T19:21:10.864Z,0.35,51.22862,-2.31921
5ee63c4adc1438001b233b56,2020-08-17T19:17:20.281Z,0.30,51.22862,-2.31921
5ee63c4adc1438001b233b56,2020-08-17T19:13:33.394Z,0.35,51.22862,-2.31921
5ee63c4adc1438001b233b56,2020-08-17T19:09:43.371Z,0.30,51.22862,-2.31921
5ee63c4adc1438001b233b56,2020-08-17T19:05:51.892Z,0.20,51.22862,-2.31921
5ee63c4adc1438001b233b56,2020-08-17T19:01:51.745Z,0.30,51.22862,-2.31921
5ee63c4adc1438001b233b56,2020-08-17T18:57:56.975Z,0.40,51.22862,-2.31921
5ee63c4adc1438001b233b56,2020-08-17T18:54:09.656Z,0.30,51.22862,-2.31921
5ee63c4adc1438001b233b56,2020-08-17T18:50:17.808Z,0.27,51.22862,-2.31921
5ee63c4adc1438001b233b56,2020-08-17T18:46:27.834Z,0.50,51.22862,-2.31921
5ee63c4adc1438001b233b56,2020-08-17T18:42:42.041Z,0.57,51.22862,-2.31921
5ee63c4adc1438001b233b56,2020-08-17T18:38:53.631Z,0.30,51.22862,-2.31921
5ee63c4adc1438001b233b56,2020-08-17T18:35:06.574Z,0.30,51.22862,-2.31921
5ee63c4adc1438001b233b56,2020-08-17T18:30:46.391Z,0.60,51.22862,-2.31921
5ee63c4adc1438001b233b56,2020-08-17T18:26:52.505Z,0.30,51.22862,-2.31921
5ee63c4adc1438001b233b56,2020-08-17T18:23:03.619Z,0.82,51.22862,-2.31921
5ee63c4adc1438001b233b56,2020-08-17T18:18:48.958Z,0.43,51.22862,-2.31921
5ee63c4adc1438001b233b56,2020-08-17T18:14:54.803Z,0.40,51.22862,-2.31921
5ee63c4adc1438001b233b56,2020-08-17T18:11:11.392Z,0.57,51.22862,-2.31921
5ee63c4adc1438001b233b56,2020-08-17T18:07:17.667Z,0.32,51.22862,-2.31921
5ee63c4adc1438001b233b56,2020-08-17T18:03:21.754Z,0.32,51.22862,-2.31921
5ee63c4adc1438001b233b56,2020-08-17T17:59:27.847Z,0.50,51.22862,-2.31921
5ee63c4adc1438001b233b56,2020-08-17T17:55:29.978Z,0.25,51.22862,-2.31921
5ee63c4adc1438001b233b56,2020-08-17T17:51:38.524Z,0.52,51.22862,-2.31921
5ee63c4adc1438001b233b56,2020-08-17T17:47:50.172Z,0.30,51.22862,-2.31921
